No.,Station,Lat(℃),Lon(℃),Elevation(m),Institution,,,,,,,,,
95,Lepley Nunatak,-73.11,-90.3,159,POLENET,,,,,,,,,
96,Alessandra,-73.59,166.62,160,PNRA,,,,,,,,,
97,Evans Knoll,-74.85,-100.4,178,AMRC,,,,,,,,,
98,Franklin Island,-76.14,168.42,181,POLENET,,,,,,,,,
99,Fogle,-77.9,166.72,200,AMRC,,,,,,,,,
100,Jimmy,-77.87,166.81,200,AMRC,,,,,,,,,
101,Latady,-72.69,-78.03,200,BAS,,,,,,,,,
102,South Georgia 2,-54,-38.05,205,POLENET,,,,,,,,,
103,Thurston Island,-72.53,-97.55,225,AMRC,,,,,,,,,
104,Mount Siple,-73.2,-127.05,230,AMRC,,,,,,,,,
105,D-10,-66.71,139.84,243,AMRC,,,,,,,,,
106,Whitlock,-76.14,168.39,262,AMRC,,,,,,,,,
107,Rita ,-74.73,164.03,268,PNRA,,,,,,,,,
108,Fallone Nunataks,-85.31,-143.63,291,POLENET,,,,,,,,,
109,Ranvik,-68.86,78.04,339,AAD,,,,,,,,,
110,King Edwaed Pt,-54.3,-36.51,346,POLENET,,,,,,,,,
111,Maria,-74.63,164.01,355,PNRA,,,,,,,,,
112,aws05,-73.1,-13.17,360,IMAU,,,,,,,,,
113,Mulock,-79.03,160.19,378,AMRC,,,,,,,,,
114,Lanyon,-66.28,110.8,390,AAD,,,,,,,,,
115,Dolleman Island,-70.58,-60.92,396,AMRC,,,,,,,,,
116,Bear Peninsula,-74.55,-111.87,416,AMRC,,,,,,,,,
117,Rumdoodle,-67.72,62.81,430,AAD,,,,,,,,,
118,D-17,-66.73,139.7,438,AMRC,,,,,,,,,
119,Brianna,-83.89,-134.18,520,AMRC,,,,,,,,,
120,Buckle Island,-66.87,163.24,520,AMRC,,,,,,,,,
121,Elizabeth,-82.61,-137.08,523,AMRC,,,,,,,,,
122,Mount Paterson,-78.03,-155.023,538,POLENET,,,,,,,,,
123,J.C.,-85.07,-135.52,549,AMRC,,,,,,,,,
124,Silvia,-73.05,169.6,568,PNRA,,,,,,,,,
125,Flask Glacier,-65.75,-62.88,591,POLENET,,,,,,,,,
